t=2025-12-05T05:47:55+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-05T05:47:55+0530 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/shivansh/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="using configuration at default config path" path=/Users/shivansh/.ngrok2/ngrok.yml
t=2025-12-05T05:47:55+0530 lvl=info msg="open config file" path=/Users/shivansh/.ngrok2/ngrok.yml err=nil
t=2025-12-05T05:47:55+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2025-12-05T05:47:55+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-05T05:47:57+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-05T05:47:57+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-05T05:47:57+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://420e649d772c.ngrok-free.app
t=2025-12-05T05:49:18+0530 lvl=info msg="join connections" obj=join id=ed382a12d89a l=127.0.0.1:3000 r=49.43.162.118:38802
t=2025-12-05T05:49:28+0530 lvl=info msg="join connections" obj=join id=448c24799c88 l=127.0.0.1:3000 r=172.71.198.143:38272
t=2025-12-05T05:49:28+0530 lvl=info msg="join connections" obj=join id=191343c566e3 l=127.0.0.1:3000 r=172.71.198.101:63905
t=2025-12-05T05:49:29+0530 lvl=info msg="join connections" obj=join id=242ac72a2f08 l=127.0.0.1:3000 r=20.191.45.212:4996
t=2025-12-05T05:49:33+0530 lvl=info msg="join connections" obj=join id=a8e200f20a5e l=127.0.0.1:3000 r=49.43.162.118:48330
t=2025-12-05T05:49:51+0530 lvl=info msg="join connections" obj=join id=95a8980eb1b2 l=127.0.0.1:3000 r=49.43.162.118:48330
t=2025-12-05T05:49:56+0530 lvl=info msg="join connections" obj=join id=bbdcfaf834ba l=127.0.0.1:3000 r=49.43.162.118:48330
t=2025-12-05T05:49:56+0530 lvl=info msg="join connections" obj=join id=42780355c1ef l=127.0.0.1:3000 r=49.43.162.118:48330
t=2025-12-05T05:53:53+0530 lvl=info msg="join connections" obj=join id=cc9087d67539 l=127.0.0.1:3000 r=49.43.162.118:43086
t=2025-12-05T05:53:54+0530 lvl=info msg="join connections" obj=join id=8828516f96b1 l=127.0.0.1:3000 r=49.43.162.118:43086
t=2025-12-05T05:53:54+0530 lvl=info msg="join connections" obj=join id=6f6e60709b0f l=127.0.0.1:3000 r=49.43.162.118:43086
